Input Size   ||  Execution Time (in milliesecond)
----------------------------------------
10           || 1                        
10           || 1                        
10           || 0                        
10           || 1                        
10           || 1                        
10           || 0                        
10           || 0                        
10           || 1                        
10           || 0                        
10           || 0                        
10           || 0                        
10           || 1                        
10           || 0                        
10           || 0                        
10           || 0                        
10           || 0                        
10           || 0                        
10           || 0                        
10           || 1                        
10           || 0                        
10           || 0                        
10           || 1                        
10           || 1                        
10           || 2                        
10           || 0                        
100          || 10                       
100          || 10                       
100          || 10                       
100          || 9                        
100          || 10                       
100          || 9                        
100          || 10                       
100          || 10                       
100          || 10                       
100          || 10                       
100          || 10                       
100          || 9                        
100          || 10                       
100          || 10                       
100          || 10                       
100          || 11                       
100          || 10                       
100          || 12                       
100          || 10                       
100          || 9                        
100          || 10                       
100          || 10                       
100          || 11                       
100          || 10                       
100          || 10                       
1000         || 140                      
1000         || 139                      
1000         || 143                      
1000         || 184                      
1000         || 135                      
1000         || 138                      
1000         || 172                      
1000         || 194                      
1000         || 140                      
1000         || 136                      
1000         || 140                      
1000         || 165                      
1000         || 138                      
1000         || 145                      
1000         || 142                      
1000         || 140                      
1000         || 142                      
1000         || 137                      
1000         || 139                      
1000         || 149                      
1000         || 136                      
1000         || 134                      
1000         || 155                      
1000         || 145                      
1000         || 139                      
